,Unnamed: 0,Name,starName,defaultPlanetEntry,numStars,numPlanets,solution,controversial,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,bestEarthMass,bestMassProvenance,eccentricity,equilTemp,stellarEffTemp,stellarRadius,stellarMetallicity,stellarMetallicityRatio,luminosity,stellarAge,distance
6609,6609,Kepler-1059 b,Kepler-1059,0,1,1,Kepler Project Candidate (q1_q8_koi),0,3.764162,0.044,1.57,,,,0.0,821.0,4883.0,0.64,,,,,713.167
6610,6610,Kepler-1059 b,Kepler-1059,0,1,1,Kepler Project Candidate (q1_q17_dr25_koi),0,3.76417012,0.044,1.7,,,,0.0,908.0,5063.0,0.73,-0.14,[Fe/H],,,713.167
6611,6611,Kepler-1059 b,Kepler-1059,0,1,1,Kepler Project Candidate (q1_q17_dr24_koi),0,3.76419105,0.044,1.74,,,,0.0,909.0,5065.0,0.73,-0.14,[Fe/H],,,713.167
6615,6615,Kepler-106 b,Kepler-106,0,1,4,Kepler Project Candidate (q1_q17_dr25_koi),0,6.164876,0.0648,0.79,,,,0.0,1021.0,5854.0,1.01,-0.12,[Fe/H],,,444.322
6617,6617,Kepler-106 b,Kepler-106,0,1,4,Kepler Project Candidate (q1_q12_koi),0,6.16491696,0.0646,0.85,,,,0.0,1035.0,5881.0,1.03,-0.16,[Fe/H],,,444.322
6618,6618,Kepler-106 b,Kepler-106,0,1,4,Kepler Project Candidate (q1_q17_dr24_koi),0,6.16491696,0.0646,0.85,,,,0.0,1035.0,5881.0,1.03,-0.16,[Fe/H],,,444.322
6619,6619,Kepler-106 b,Kepler-106,0,1,4,Kepler Project Candidate (q1_q16_koi),0,6.16491696,0.0646,0.85,,,,0.0,1035.0,5881.0,1.03,-0.16,[Fe/H],,,444.322
6620,6620,Kepler-106 b,Kepler-106,0,1,4,Kepler Project Candidate (q1_q8_koi),0,6.165,0.066,0.81,,,,0.0,1025.0,5865.0,1.04,,,,5.2,444.322
6627,6627,Kepler-106 c,Kepler-106,0,1,4,Kepler Project Candidate (q1_q8_koi),0,13.570733,0.111,2.47,,,,0.0,791.0,5865.0,1.04,,,,5.2,444.322
6629,6629,Kepler-106 c,Kepler-106,0,1,4,Kepler Project Candidate (q1_q17_dr24_koi),0,13.57076622,0.1093,2.35,,,,0.0,796.0,5881.0,1.03,-0.16,[Fe/H],,,444.322
6630,6630,Kepler-106 c,Kepler-106,0,1,4,Kepler Project Candidate (q1_q16_koi),0,13.57076622,0.1093,2.35,,,,0.0,796.0,5881.0,1.03,-0.16,[Fe/H],,,444.322
6631,6631,Kepler-106 c,Kepler-106,0,1,4,Kepler Project Candidate (q1_q12_koi),0,13.57076622,0.1093,2.35,,,,0.0,796.0,5881.0,1.03,-0.16,[Fe/H],,,444.322
6632,6632,Kepler-106 c,Kepler-106,0,1,4,Kepler Project Candidate (q1_q17_dr25_koi),0,13.57078281,0.1096,2.64,,,,0.0,785.0,5854.0,1.01,-0.12,[Fe/H],,,444.322
6636,6636,Kepler-106 d,Kepler-106,0,1,4,Kepler Project Candidate (q1_q17_dr24_koi),0,23.9802348,0.1597,0.99,,,,0.0,658.0,5881.0,1.03,-0.16,[Fe/H],,,444.322
6638,6638,Kepler-106 d,Kepler-106,0,1,4,Kepler Project Candidate (q1_q8_koi),0,23.98059,0.163,0.93,,,,0.0,653.0,5865.0,1.04,,,,5.2,444.322
6641,6641,Kepler-106 d,Kepler-106,0,1,4,Kepler Project Candidate (q1_q16_koi),0,23.9802348,0.1597,0.99,,,,0.0,658.0,5881.0,1.03,-0.16,[Fe/H],,,444.322
6642,6642,Kepler-106 d,Kepler-106,0,1,4,Kepler Project Candidate (q1_q17_dr25_koi),0,23.9800854,0.1602,1.31,,,,0.0,649.0,5854.0,1.01,-0.12,[Fe/H],,,444.322
6644,6644,Kepler-106 d,Kepler-106,0,1,4,Kepler Project Candidate (q1_q12_koi),0,23.9802348,0.1597,0.99,,,,0.0,658.0,5881.0,1.03,-0.16,[Fe/H],,,444.322
6645,6645,Kepler-106 e,Kepler-106,0,1,4,Kepler Project Candidate (q1_q17_dr25_koi),0,43.84439721,0.2395,2.87,,,,0.0,531.0,5854.0,1.01,-0.12,[Fe/H],,,444.322
6647,6647,Kepler-106 e,Kepler-106,0,1,4,Kepler Project Candidate (q1_q17_dr24_koi),0,43.84444353,0.2388,2.58,,,,0.0,538.0,5881.0,1.03,-0.16,[Fe/H],,,444.322
6648,6648,Kepler-106 e,Kepler-106,0,1,4,Kepler Project Candidate (q1_q12_koi),0,43.84444353,0.2388,2.58,,,,0.0,538.0,5881.0,1.03,-0.16,[Fe/H],,,444.322
6650,6650,Kepler-106 e,Kepler-106,0,1,4,Kepler Project Candidate (q1_q16_koi),0,43.84444353,0.2388,2.58,,,,0.0,538.0,5881.0,1.03,-0.16,[Fe/H],,,444.322
6654,6654,Kepler-106 e,Kepler-106,0,1,4,Kepler Project Candidate (q1_q8_koi),0,43.84445,0.244,2.52,,,,0.0,533.0,5865.0,1.04,,,,5.2,444.322
6656,6656,Kepler-1060 b,Kepler-1060,0,1,1,Kepler Project Candidate (q1_q12_koi),0,46.8779367,0.238,2.39,,,,0.0,517.0,5790.0,0.97,-0.42,[Fe/H],,,946.565
6657,6657,Kepler-1060 b,Kepler-1060,0,1,1,Kepler Project Candidate (q1_q8_koi),0,46.87882,0.25,2.3,,,,0.0,525.0,5837.0,1.04,,,,7.5,946.565
6659,6659,Kepler-1060 b,Kepler-1060,0,1,1,Kepler Project Candidate (q1_q17_dr25_koi),0,46.8776724,0.2495,2.62,,,,0.0,484.0,5504.0,0.99,0.2,[Fe/H],,,946.565
6662,6662,Kepler-1060 b,Kepler-1060,0,1,1,Kepler Project Candidate (q1_q17_dr24_koi),0,46.8779367,0.238,2.39,,,,0.0,517.0,5790.0,0.97,-0.42,[Fe/H],,,946.565
6663,6663,Kepler-1060 b,Kepler-1060,0,1,1,Kepler Project Candidate (q1_q16_koi),0,46.8779367,0.238,2.39,,,,0.0,517.0,5790.0,0.97,-0.42,[Fe/H],,,946.565
6669,6669,Kepler-1061 b,Kepler-1061,0,1,1,Kepler Project Candidate (q1_q8_koi),0,2.758006,0.041,1.94,,,,0.0,1595.0,6424.0,1.3,,,,2.81,543.375
6670,6670,Kepler-1061 b,Kepler-1061,0,1,1,Kepler Project Candidate (q1_q16_koi),0,2.75798267,0.0395,2.24,,,,0.0,1553.0,6419.0,1.19,-0.2,[Fe/H],,,543.375
6673,6673,Kepler-1061 b,Kepler-1061,0,1,1,Kepler Project Candidate (q1_q17_dr24_koi),0,2.75798267,0.0395,2.24,,,,0.0,1553.0,6419.0,1.19,-0.2,[Fe/H],,,543.375
6674,6674,Kepler-1061 b,Kepler-1061,0,1,1,Kepler Project Candidate (q1_q12_koi),0,2.75798267,0.0395,2.24,,,,0.0,1553.0,6419.0,1.19,-0.2,[Fe/H],,,543.375
6675,6675,Kepler-1061 b,Kepler-1061,0,1,1,Kepler Project Candidate (q1_q17_dr25_koi),0,2.75797738,0.0384,1.69,,,,0.0,1332.0,5919.0,1.0,-0.08,[Fe/H],,,543.375
6676,6676,Kepler-1062 b,Kepler-1062,0,1,1,Kepler Project Candidate (q1_q16_koi),0,9.30412078,0.0748,1.64,,,,0.0,583.0,4458.0,0.66,-0.16,[Fe/H],,,397.455
6680,6680,Kepler-1062 b,Kepler-1062,0,1,1,Kepler Project Candidate (q1_q12_koi),0,9.30412078,0.0748,1.64,,,,0.0,583.0,4458.0,0.66,-0.16,[Fe/H],,,397.455
6681,6681,Kepler-1062 b,Kepler-1062,0,1,1,Kepler Project Candidate (q1_q17_dr25_koi),0,9.30413878,0.0748,1.67,,,,0.0,583.0,4458.0,0.66,-0.16,[Fe/H],,,397.455
6682,6682,Kepler-1062 b,Kepler-1062,0,1,1,Kepler Project Candidate (q1_q17_dr24_koi),0,9.30412078,0.0748,1.64,,,,0.0,583.0,4458.0,0.66,-0.16,[Fe/H],,,397.455
6685,6685,Kepler-1062 b,Kepler-1062,0,1,1,Kepler Project Candidate (q1_q8_koi),0,9.304236,0.074,1.58,,,,0.0,554.0,4451.0,0.59,,,,13.8,397.455
6687,6687,Kepler-1063 b,Kepler-1063,0,2,1,Kepler Project Candidate (q1_q17_dr25_koi),0,14.07969236,0.1176,2.08,,,,0.0,931.0,5821.0,1.55,0.14,[Fe/H],,,343.226
6688,6688,Kepler-1063 b,Kepler-1063,0,2,1,Kepler Project Candidate (q1_q12_koi),0,14.07971466,0.1105,1.15,,,,0.0,694.0,5568.0,0.88,-0.04,[Fe/H],,,343.226
6689,6689,Kepler-1063 b,Kepler-1063,0,2,1,Kepler Project Candidate (q1_q8_koi),0,14.079698,0.109,1.26,,,,0.0,686.0,5530.0,0.86,,,,7.0,343.226
6690,6690,Kepler-1063 b,Kepler-1063,0,2,1,Kepler Project Candidate (q1_q16_koi),0,14.07971466,0.1105,1.15,,,,0.0,694.0,5568.0,0.88,-0.04,[Fe/H],,,343.226
6691,6691,Kepler-1063 b,Kepler-1063,0,2,1,Kepler Project Candidate (q1_q17_dr24_koi),0,14.07971466,0.1105,1.15,,,,0.0,694.0,5568.0,0.88,-0.04,[Fe/H],,,343.226
6694,6694,Kepler-1064 b,Kepler-1064,0,1,1,Kepler Project Candidate (q1_q12_koi),0,16.54080322,0.1126,1.26,,,,0.0,537.0,5094.0,0.64,-0.58,[Fe/H],,,
6695,6695,Kepler-1064 b,Kepler-1064,0,1,1,Kepler Project Candidate (q1_q17_dr25_koi),0,16.54081386,0.1183,1.57,,,,0.0,570.0,5064.0,0.77,0.0,[Fe/H],,,
6697,6697,Kepler-1064 b,Kepler-1064,0,1,1,Kepler Project Candidate (q1_q8_koi),0,16.54091,0.119,1.51,,,,0.0,560.0,5176.0,0.71,,,,0.9,
6699,6699,Kepler-1064 b,Kepler-1064,0,1,1,Kepler Project Candidate (q1_q17_dr24_koi),0,16.54080322,0.1126,1.26,,,,0.0,537.0,5094.0,0.64,-0.58,[Fe/H],,,
6701,6701,Kepler-1064 b,Kepler-1064,0,1,1,Kepler Project Candidate (q1_q16_koi),0,16.54080322,0.1126,1.26,,,,0.0,537.0,5094.0,0.64,-0.58,[Fe/H],,,
6704,6704,Kepler-1065 b,Kepler-1065,0,1,2,Kepler Project Candidate (q1_q8_koi),0,3.609319,0.046,3.1,,,,0.0,1053.0,5443.0,0.89,,,,,1122.48
6705,6705,Kepler-1065 b,Kepler-1065,0,1,2,Kepler Project Candidate (q1_q17_dr24_koi),0,3.60930891,0.0455,3.47,,,,0.0,1092.0,5668.0,0.87,-0.02,[Fe/H],,,1122.48
6706,6706,Kepler-1065 b,Kepler-1065,0,1,2,Kepler Project Candidate (q1_q12_koi),0,3.60930891,0.0455,3.47,,,,0.0,1092.0,5668.0,0.87,-0.02,[Fe/H],,,1122.48
6710,6710,Kepler-1065 b,Kepler-1065,0,1,2,Kepler Project Candidate (q1_q16_koi),0,3.60930891,0.0455,3.47,,,,0.0,1092.0,5668.0,0.87,-0.02,[Fe/H],,,1122.48
6711,6711,Kepler-1065 b,Kepler-1065,0,1,2,Kepler Project Candidate (q1_q17_dr25_koi),0,3.60931306,0.0455,3.26,,,,0.0,1092.0,5668.0,0.87,-0.02,[Fe/H],,,1122.48
6713,6713,Kepler-1065 c,Kepler-1065,0,1,2,Kepler Project Candidate (q1_q16_koi),0,2.37030743,0.0344,1.56,,,,0.0,1256.0,5668.0,0.87,-0.02,[Fe/H],,,1122.48
6717,6717,Kepler-1065 c,Kepler-1065,0,1,2,Kepler Project Candidate (q1_q12_koi),0,2.37030743,0.0344,1.56,,,,0.0,1256.0,5668.0,0.87,-0.02,[Fe/H],,,1122.48
6718,6718,Kepler-1065 c,Kepler-1065,0,1,2,Kepler Project Candidate (q1_q17_dr25_koi),0,2.3702932,0.0344,1.29,,,,0.0,1256.0,5668.0,0.87,-0.02,[Fe/H],,,1122.48
6719,6719,Kepler-1065 c,Kepler-1065,0,1,2,Kepler Project Candidate (q1_q17_dr24_koi),0,2.37030743,0.0344,1.56,,,,0.0,1256.0,5668.0,0.87,-0.02,[Fe/H],,,1122.48
6720,6720,Kepler-1066 b,Kepler-1066,0,1,1,Kepler Project Candidate (q1_q17_dr25_koi),0,1.93155546,0.0299,2.25,,,,0.0,1290.0,5461.0,0.86,0.14,[Fe/H],,,344.251
6721,6721,Kepler-1066 b,Kepler-1066,0,1,1,Kepler Project Candidate (q1_q17_dr24_koi),0,1.93155984,0.0284,2.55,,,,0.0,1513.0,5642.0,1.05,-0.26,[Fe/H],,,344.251
6723,6723,Kepler-1066 b,Kepler-1066,0,1,1,Kepler Project Candidate (q1_q12_koi),0,1.93155984,0.0284,2.55,,,,0.0,1513.0,5642.0,1.05,-0.26,[Fe/H],,,344.251
6725,6725,Kepler-1066 b,Kepler-1066,0,1,1,Kepler Project Candidate (q1_q16_koi),0,1.93155984,0.0284,2.55,,,,0.0,1513.0,5642.0,1.05,-0.26,[Fe/H],,,344.251
6729,6729,Kepler-1066 b,Kepler-1066,0,1,1,Kepler Project Candidate (q1_q8_koi),0,1.9315635,0.029,2.64,,,,0.0,1543.0,5654.0,1.11,,,,12.7,344.251
6731,6731,Kepler-1067 b,Kepler-1067,0,1,2,Kepler Project Candidate (q1_q17_dr24_koi),0,0.76212926,0.0158,0.7,,,,0.0,1792.0,5614.0,0.83,-0.14,[Fe/H],,,667.693
6733,6733,Kepler-1067 b,Kepler-1067,0,1,2,Kepler Project Candidate (q1_q16_koi),0,0.76212926,0.0158,0.7,,,,0.0,1792.0,5614.0,0.83,-0.14,[Fe/H],,,667.693
6734,6734,Kepler-1067 b,Kepler-1067,0,1,2,Kepler Project Candidate (q1_q17_dr25_koi),0,0.76213231,0.0162,0.75,,,,0.0,1872.0,5594.0,0.93,0.16,[Fe/H],,,667.693
6735,6735,Kepler-1067 b,Kepler-1067,0,1,2,Kepler Project Candidate (q1_q12_koi),0,0.76212926,0.0158,0.7,,,,0.0,1792.0,5614.0,0.83,-0.14,[Fe/H],,,667.693
6738,6738,Kepler-1067 c,Kepler-1067,0,1,2,Kepler Project Candidate (q1_q12_koi),0,5.42587228,0.0585,1.33,,,,0.0,931.0,5614.0,0.83,-0.14,[Fe/H],,,667.693
6739,6739,Kepler-1067 c,Kepler-1067,0,1,2,Kepler Project Candidate (q1_q16_koi),0,5.42587228,0.0585,1.33,,,,0.0,931.0,5614.0,0.83,-0.14,[Fe/H],,,667.693
6741,6741,Kepler-1067 c,Kepler-1067,0,1,2,Kepler Project Candidate (q1_q8_koi),0,5.425944,0.059,1.27,,,,0.0,919.0,5597.0,0.82,,,,0.5,667.693
6742,6742,Kepler-1067 c,Kepler-1067,0,1,2,Kepler Project Candidate (q1_q17_dr24_koi),0,5.42587228,0.0585,1.33,,,,0.0,931.0,5614.0,0.83,-0.14,[Fe/H],,,667.693
6745,6745,Kepler-1067 c,Kepler-1067,0,1,2,Kepler Project Candidate (q1_q17_dr25_koi),0,5.42586901,0.0601,1.48,,,,0.0,973.0,5594.0,0.93,0.16,[Fe/H],,,667.693
6746,6746,Kepler-1068 b,Kepler-1068,0,1,1,Kepler Project Candidate (q1_q17_dr24_koi),0,16.92344113,0.134,3.63,,,,0.0,735.0,6063.0,1.01,0.07,[Fe/H],,,1473.61
6748,6748,Kepler-1068 b,Kepler-1068,0,1,1,Kepler Project Candidate (q1_q8_koi),0,16.92333,0.132,3.4,,,,0.0,689.0,5805.0,0.95,,,,,1473.61
6750,6750,Kepler-1068 b,Kepler-1068,0,1,1,Kepler Project Candidate (q1_q17_dr25_koi),0,16.92342126,0.1309,3.4,,,,0.0,702.0,5786.0,0.99,0.16,[Fe/H],,,1473.61
6753,6753,Kepler-1068 b,Kepler-1068,0,1,1,Kepler Project Candidate (q1_q12_koi),0,16.92344113,0.134,3.63,,,,0.0,735.0,6063.0,1.01,0.07,[Fe/H],,,1473.61
6754,6754,Kepler-1068 b,Kepler-1068,0,1,1,Kepler Project Candidate (q1_q16_koi),0,16.92344113,0.134,3.63,,,,0.0,735.0,6063.0,1.01,0.07,[Fe/H],,,1473.61
6756,6756,Kepler-1069 b,Kepler-1069,0,1,1,Kepler Project Candidate (q1_q17_dr24_koi),0,23.8990296,0.1632,2.02,,,,0.0,693.0,5790.0,1.2,0.1,[Fe/H],,,695.967
6758,6758,Kepler-1069 b,Kepler-1069,0,1,1,Kepler Project Candidate (q1_q16_koi),0,23.8990296,0.1632,2.02,,,,0.0,693.0,5790.0,1.2,0.1,[Fe/H],,,695.967
6759,6759,Kepler-1069 b,Kepler-1069,0,1,1,Kepler Project Candidate (q1_q8_koi),0,23.8992,0.166,2.21,,,,0.0,666.0,5556.0,1.23,,,,,695.967
6761,6761,Kepler-1069 b,Kepler-1069,0,1,1,Kepler Project Candidate (q1_q17_dr25_koi),0,23.8990075,0.1685,3.26,,,,0.0,823.0,5511.0,1.93,0.1,[Fe/H],,,695.967
6764,6764,Kepler-1069 b,Kepler-1069,0,1,1,Kepler Project Candidate (q1_q12_koi),0,23.8990296,0.1632,2.02,,,,0.0,693.0,5790.0,1.2,0.1,[Fe/H],,,695.967
6767,6767,Kepler-107 b,Kepler-107,0,1,4,Kepler Project Candidate (q1_q17_dr25_koi),0,3.1800279,0.0439,1.53,,,,0.0,1458.0,5847.0,1.4,0.26,[Fe/H],,,525.997
6769,6769,Kepler-107 b,Kepler-107,0,1,4,Kepler Project Candidate (q1_q17_dr24_koi),0,3.18002464,0.0441,1.55,,,,0.0,1460.0,5851.0,1.41,0.27,[Fe/H],,,525.997
6770,6770,Kepler-107 b,Kepler-107,0,1,4,Kepler Project Candidate (q1_q8_koi),0,3.179962,0.045,1.58,,,,0.0,1345.0,5949.0,1.18,,,,2.3,525.997
6772,6772,Kepler-107 b,Kepler-107,0,1,4,Kepler Project Candidate (q1_q16_koi),0,3.18002464,0.0441,1.55,,,,0.0,1460.0,5851.0,1.41,0.27,[Fe/H],,,525.997
6773,6773,Kepler-107 b,Kepler-107,0,1,4,Kepler Project Candidate (q1_q12_koi),0,3.18002464,0.0441,1.55,,,,0.0,1460.0,5851.0,1.41,0.27,[Fe/H],,,525.997
6779,6779,Kepler-107 b,Kepler-107,0,1,4,Published Confirmed,0,3.1800218,0.04544,1.536,3.51,3.51,Mass,0.0,1593.0,5854.0,1.45,0.321,[Fe/H],,4.29,525.997
6781,6781,Kepler-107 c,Kepler-107,0,1,4,Kepler Project Candidate (q1_q17_dr24_koi),0,4.90143807,0.0589,1.84,,,,0.0,1263.0,5851.0,1.41,0.27,[Fe/H],,,525.997
6783,6783,Kepler-107 c,Kepler-107,0,1,4,Published Confirmed,0,4.901452,0.06064,1.597,9.39,9.39,Mass,0.0,1379.0,5854.0,1.45,0.321,[Fe/H],,4.29,525.997
6785,6785,Kepler-107 c,Kepler-107,0,1,4,Kepler Project Candidate (q1_q12_koi),0,4.90143807,0.0589,1.84,,,,0.0,1263.0,5851.0,1.41,0.27,[Fe/H],,,525.997
6786,6786,Kepler-107 c,Kepler-107,0,1,4,Kepler Project Candidate (q1_q17_dr25_koi),0,4.90144976,0.0586,1.7,,,,0.0,1262.0,5847.0,1.4,0.26,[Fe/H],,,525.997
6789,6789,Kepler-107 c,Kepler-107,0,1,4,Kepler Project Candidate (q1_q8_koi),0,4.901467,0.06,1.71,,,,0.0,1165.0,5949.0,1.18,,,,2.3,525.997
6791,6791,Kepler-107 c,Kepler-107,0,1,4,Kepler Project Candidate (q1_q16_koi),0,4.90143807,0.0589,1.84,,,,0.0,1263.0,5851.0,1.41,0.27,[Fe/H],,,525.997
6796,6796,Kepler-107 d,Kepler-107,0,1,4,Kepler Project Candidate (q1_q17_dr24_koi),0,7.95830216,0.0813,1.07,,,,0.0,1075.0,5851.0,1.41,0.27,[Fe/H],,,525.997
6797,6797,Kepler-107 d,Kepler-107,0,1,4,Kepler Project Candidate (q1_q17_dr25_koi),0,7.95825328,0.0809,1.06,,,,0.0,1074.0,5847.0,1.4,0.26,[Fe/H],,,525.997
6798,6798,Kepler-107 d,Kepler-107,0,1,4,Kepler Project Candidate (q1_q8_koi),0,7.95792,0.083,1.08,,,,0.0,991.0,5949.0,1.18,,,,2.3,525.997
6800,6800,Kepler-107 d,Kepler-107,0,1,4,Kepler Project Candidate (q1_q12_koi),0,7.95830216,0.0813,1.07,,,,0.0,1075.0,5851.0,1.41,0.27,[Fe/H],,,525.997
6803,6803,Kepler-107 d,Kepler-107,0,1,4,Published Confirmed,0,7.95839,0.08377,0.86,3.8,3.8,Mass,0.0,1173.0,5854.0,1.45,0.321,[Fe/H],,4.29,525.997
6806,6806,Kepler-107 d,Kepler-107,0,1,4,Kepler Project Candidate (q1_q16_koi),0,7.95830216,0.0813,1.07,,,,0.0,1075.0,5851.0,1.41,0.27,[Fe/H],,,525.997
6807,6807,Kepler-107 e,Kepler-107,0,1,4,Published Confirmed,0,14.749143,0.12639,2.903,8.6,8.6,Mass,0.0,955.0,5854.0,1.45,0.321,[Fe/H],,4.29,525.997
6808,6808,Kepler-107 e,Kepler-107,0,1,4,Kepler Project Candidate (q1_q16_koi),0,14.74913518,0.1227,3.07,,,,0.0,875.0,5851.0,1.41,0.27,[Fe/H],,,525.997
6810,6810,Kepler-107 e,Kepler-107,0,1,4,Kepler Project Candidate (q1_q17_dr24_koi),0,14.74913518,0.1227,3.07,,,,0.0,875.0,5851.0,1.41,0.27,[Fe/H],,,525.997
6813,6813,Kepler-107 e,Kepler-107,0,1,4,Kepler Project Candidate (q1_q17_dr25_koi),0,14.74914825,0.1221,2.89,,,,0.0,874.0,5847.0,1.4,0.26,[Fe/H],,,525.997
6814,6814,Kepler-107 e,Kepler-107,0,1,4,Kepler Project Candidate (q1_q8_koi),0,14.749102,0.125,2.93,,,,0.0,807.0,5949.0,1.18,,,,2.3,525.997
6818,6818,Kepler-107 e,Kepler-107,0,1,4,Kepler Project Candidate (q1_q12_koi),0,14.74913518,0.1227,3.07,,,,0.0,875.0,5851.0,1.41,0.27,[Fe/H],,,525.997
6822,6822,Kepler-1070 b,Kepler-1070,0,1,1,Kepler Project Candidate (q1_q16_koi),0,6.2216147,0.0708,1.79,,,,0.0,1276.0,6616.0,1.35,-0.16,[Fe/H],,,939.001
6824,6824,Kepler-1070 b,Kepler-1070,0,1,1,Kepler Project Candidate (q1_q8_koi),0,6.221632,0.071,1.72,,,,0.0,1218.0,6582.0,1.25,,,,1.34,939.001
6826,6826,Kepler-1070 b,Kepler-1070,0,1,1,Kepler Project Candidate (q1_q12_koi),0,6.2216147,0.0708,1.79,,,,0.0,1276.0,6616.0,1.35,-0.16,[Fe/H],,,939.001
6829,6829,Kepler-1070 b,Kepler-1070,0,1,1,Kepler Project Candidate (q1_q17_dr25_koi),0,6.22161107,0.0693,1.59,,,,0.0,1101.0,6277.0,1.1,-0.02,[Fe/H],,,939.001
6830,6830,Kepler-1070 b,Kepler-1070,0,1,1,Kepler Project Candidate (q1_q17_dr24_koi),0,6.2216147,0.0708,1.79,,,,0.0,1276.0,6616.0,1.35,-0.16,[Fe/H],,,939.001
6831,6831,Kepler-1071 b,Kepler-1071,0,1,1,Kepler Project Candidate (q1_q8_koi),0,6.180013,0.061,1.74,,,,0.0,775.0,5153.0,0.71,,,,0.9,1042.27
6833,6833,Kepler-1071 b,Kepler-1071,0,1,1,Kepler Project Candidate (q1_q12_koi),0,6.1799844,0.0533,1.47,,,,0.0,661.0,4932.0,0.49,-2.5,[Fe/H],,,1042.27
6834,6834,Kepler-1071 b,Kepler-1071,0,1,1,Kepler Project Candidate (q1_q17_dr24_koi),0,6.1799844,0.0533,1.47,,,,0.0,661.0,4932.0,0.49,-2.5,[Fe/H],,,1042.27
6835,6835,Kepler-1071 b,Kepler-1071,0,1,1,Kepler Project Candidate (q1_q17_dr25_koi),0,6.17998508,0.0615,2.12,,,,0.0,814.0,5149.0,0.79,-0.02,[Fe/H],,,1042.27
6839,6839,Kepler-1071 b,Kepler-1071,0,1,1,Kepler Project Candidate (q1_q16_koi),0,6.1799844,0.0533,1.47,,,,0.0,661.0,4932.0,0.49,-2.5,[Fe/H],,,1042.27
6843,6843,Kepler-1072 b,Kepler-1072,0,1,1,Kepler Project Candidate (q1_q17_dr25_koi),0,1.5690666,0.0269,1.68,,,,0.0,1849.0,5821.0,1.4,0.12,[Fe/H],,,982.716
6845,6845,Kepler-1072 b,Kepler-1072,0,1,1,Kepler Project Candidate (q1_q17_dr24_koi),0,1.5690665,0.0282,1.4,,,,0.0,1777.0,6343.0,1.14,0.07,[Fe/H],,,982.716
6846,6846,Kepler-1072 b,Kepler-1072,0,1,1,Kepler Project Candidate (q1_q8_koi),0,1.56906,0.028,1.35,,,,0.0,1713.0,6292.0,1.07,,,,0.66,982.716
6848,6848,Kepler-1072 b,Kepler-1072,0,1,1,Kepler Project Candidate (q1_q16_koi),0,1.5690665,0.0282,1.4,,,,0.0,1777.0,6343.0,1.14,0.07,[Fe/H],,,982.716
6849,6849,Kepler-1072 b,Kepler-1072,0,1,1,Kepler Project Candidate (q1_q12_koi),0,1.5690665,0.0282,1.4,,,,0.0,1777.0,6343.0,1.14,0.07,[Fe/H],,,982.716
6851,6851,Kepler-1073 b,Kepler-1073,0,1,3,Kepler Project Candidate (q1_q12_koi),0,8.67888593,0.0802,1.95,,,,0.0,816.0,5741.0,0.83,-0.24,[Fe/H],,,809.897
6852,6852,Kepler-1073 b,Kepler-1073,0,1,3,Kepler Project Candidate (q1_q17_dr24_koi),0,8.67888593,0.0802,1.95,,,,0.0,816.0,5741.0,0.83,-0.24,[Fe/H],,,809.897
6853,6853,Kepler-1073 b,Kepler-1073,0,1,3,Kepler Project Candidate (q1_q16_koi),0,8.67888593,0.0802,1.95,,,,0.0,816.0,5741.0,0.83,-0.24,[Fe/H],,,809.897
6855,6855,Kepler-1073 b,Kepler-1073,0,1,3,Kepler Project Candidate (q1_q17_dr25_koi),0,8.67890312,0.0805,2.56,,,,0.0,905.0,5509.0,1.12,0.16,[Fe/H],,,809.897
6857,6857,Kepler-1073 b,Kepler-1073,0,1,3,Kepler Project Candidate (q1_q8_koi),0,8.678902,0.082,2.11,,,,0.0,819.0,5747.0,0.86,,,,0.4,809.897
6861,6861,Kepler-1073 c,Kepler-1073,0,1,3,Kepler Project Candidate (q1_q17_dr25_koi),0,4.02582434,0.0483,1.79,,,,0.0,1169.0,5509.0,1.12,0.16,[Fe/H],,,809.897
6862,6862,Kepler-1073 c,Kepler-1073,0,1,3,Kepler Project Candidate (q1_q16_koi),0,4.02582254,0.048,1.38,,,,0.0,1055.0,5741.0,0.83,-0.24,[Fe/H],,,809.897
6863,6863,Kepler-1073 c,Kepler-1073,0,1,3,Kepler Project Candidate (q1_q12_koi),0,4.02582254,0.048,1.38,,,,0.0,1055.0,5741.0,0.83,-0.24,[Fe/H],,,809.897
6866,6866,Kepler-1073 c,Kepler-1073,0,1,3,Kepler Project Candidate (q1_q17_dr24_koi),0,4.02582254,0.048,1.38,,,,0.0,1055.0,5741.0,0.83,-0.24,[Fe/H],,,809.897
6868,6868,Kepler-1073 d,Kepler-1073,0,1,3,Kepler Project Candidate (q1_q17_dr24_koi),0,2.50475882,0.035,1.16,,,,0.0,1235.0,5741.0,0.83,-0.24,[Fe/H],,,809.897
6869,6869,Kepler-1073 d,Kepler-1073,0,1,3,Kepler Project Candidate (q1_q17_dr25_koi),0,2.50475282,0.0352,1.48,,,,0.0,1369.0,5509.0,1.12,0.16,[Fe/H],,,809.897
6870,6870,Kepler-1073 d,Kepler-1073,0,1,3,Kepler Project Candidate (q1_q12_koi),0,2.50475882,0.035,1.16,,,,0.0,1235.0,5741.0,0.83,-0.24,[Fe/H],,,809.897
